Column1;_8;_9
戦前[せんぜん];せんぜん の せいかつ は いま と まったく ちがいました;La vie avant la Seconde Guerre mondiale est assez différente de celle d'aujourd'hui.
液体[えきたい];せんたく に えきたい の せんざい を つかって います;J'utilise une lessive liquide pour laver les vêtements.
湿る[しめる];せんたくもの が まだ しめって います;Le linge est encore humide.
銭湯[せんとう];せんとう は むかし より すくなく なった わ ね;Il y a moins de bains publics aujourd'hui qu'avant.
行程[こうてい];ぜんぶ で ろくじかん の こうてい です;C'est un voyage de six heures en tout.
洗面[せんめん];せんめん ようぐ を わすれた;J'ai oublié mes affaires de toilette.
洗面器[せんめんき];せんめんき で はんかち を あらった の;J'ai lavé mon mouchoir dans un lavabo.
洗面所[せんめんじょ];せんめんじょ で かお を あらった;Elle s'est lavé le visage dans les toilettes.
全力[ぜんりょく];ぜんりょく で はしれ;Courez de toutes vos forces !
悪因悪果[あくいんあっか];ぜん因ぜん果悪因悪果って言うだろ？当然のむくいだよ。;"On dit ""le mal engendre le mal"", n'est-ce pas ? Ils ont donc été correctement punis."
対外[たいがい];せん後、日本の対外せいさくはどのようにかわっていったのでしょうか。;Comment la politique étrangère du Japon a-t-elle changé après-guerre ?
募集中[ぼしゅうちゅう];そいつ、パソコンオタクではあるけど、見た目はイケメンで、今彼女募集中なんだ。どう、会ってみない？;C'est un geek en informatique, mais un beau mec et il cherche une petite amie en ce moment. Ça ne vous intéresse pas de le rencontrer ?
委託[いたく];そいつがさ、男の目隠しまではしたけど、残りの殺人業務は他の暗殺者に委託したって言うんだよ。;Il dit qu'il a bandé les yeux du gars, mais a confié le reste du meurtre à l'autre assassin.
躍如[やくじょ];そいつにチャンピオンの面目躍如たるところを見せつけてやれ！;Montrez-lui quel genre de champion vous êtes !
先入観[せんにゅうかん];そういうの、 せんにゅうかん 先入観っていうんだよっ！ たいけん 体験したこと な 無いのに、決め付けるのはよくないっ！;C'est ce qu'ils appellent «préjugés»! Il est faux de penser à quelque chose que vous n'avez jamais connu!
決めつける[きめつける];そういうの、 先入観[せんにゅうかん]っていうんだよっ！ 体験[たいけん]したこと 無[な]いのに、 決め付[きめつ]けるのはよくないっ！;C'est ce qu'ils appellent «préjugés»! Bien qu'ils n'en ont jamais fait l'expérince, il est erroné de s'y accorder !
超自然的[ちょうしぜんてき];そういえば、私の超自然的な力についてお話したことってありましたっけ？;Vous ai-je déjà parlé de mon pouvoir surnaturel ?
見違える[みちがえる];そうじ を したら へや が みちがえる よう に なった の;J'ai commencé à voir la pièce différemment au fur et à mesure que je la nettoyais.
掃除機[そうじき];そうじき が こわれた;L'aspirateur est tombé en panne.
次々に[つぎつぎに];そうしゃ が つぎつぎに ごーる しました;Les coureurs ont atteint le but les uns après les autres.
能率[のうりつ];そうすれば 能率[のうりつ]が 上[あ]がりますよ。;Si vous faites comme cela, c'est plus efficace.
総理[そうり];そうり は よーろっぱ を ほうもんちゅう です;Le Premier ministre est en visite en Europe.
奴隷[どれい];そう取り乱すなよ。心配ないって。俺らはまだ奴隷だけど、そのうち何とかなるよ。;Ne perdez pas votre sang-froid. Ne vous inquiétez pas. Nous sommes toujours des esclaves maintenant, mais les choses vont s'arranger.
速達便[そくたつびん];そくたつびん なら あした の ごぜんちゅう に とどきます;Il arrivera demain matin si vous l'envoyez par courrier express.
浄土[じょうど];そこはまさに極楽浄土のような所だった。;Cet endroit est exactement comme la Terre Pure d'Amitabha.
毒[どく];そこをどいてください。;Veuillez vous déplacez s'il vous plait.
然して[そして];そして 駅[えき]の 隣[となり]のスーパーに 入[はいっ]た。;Ensuite, je suis entré dans le supermarché à côté de la gare.
出獄[しゅつごく];そして、出獄の日が近づくにつれて、憂鬱になって、何故か危機感を感じたんです。;Puis, alors que le jour où je serais libéré de prison approchait, je suis devenu déprimé et, pour une raison quelconque, j'ai senti une catastrophe imminente.
進路[しんろ];そつぎょう ご の しんろ を まよって います;J'ai du mal à décider quel chemin je vais prendre après l'obtention du diplôme.
花束[はなたば];そつぎょうしき に はなたば を もらいました;J'ai reçu un bouquet de fleurs à ma cérémonie de remise des diplômes.
率直[そっちょく];そっちょく な ごいけん ありがとう ございました;Merci pour votre avis direct.
悲鳴[ひめい];そと から ひめい が きこえた な;Un cri a été entendu à l'extérieur.
一面[いちめん];そと は いちめん の ゆきげしき だった ね;C'était un paysage enneigé à l'extérieur.
木枯らし[こがらし];そと は こがらし が ふいて いる よ;Un vent froid d'hiver souffle dehors.
真っ暗[まっくら];そと は まっくら です;Il fait nuit noire dehors.
薄暗い[うすぐらい];そと は もう うすぐらく なりました よ;Il fait déjà noir dehors.
正面[しょうめん];その いえ の しょうめん に は おおき な ばるこにー が ある の;Il y a un grand balcon à l'avant de la maison.
濁る[にごる];その いけ の みず は にごって いる ね;L'eau du bassin est trouble.
命日[めいにち];その いし 石には かれ 彼の めいにち 命日が きざ 刻まれていた。;Sur la pierre a été inscrit la date de sa mort.
送り仮名[おくりがな];その おくりがな は まちがって います;Ce suffixe kana est faux.
怪しい[あやしい];その おとこ の こうどう は あやしかった わ;Le comportement de cet homme était suspect.
海峡[かいきょう];その かいきょう に はし が かけられました;Un pont a été construit sur ce détroit.
実態[じったい];その かいしゃ の けいえい の じったい を ちょうさちゅう だ;L'état de la direction de cette société fait l'objet d'une enquête.
筆記試験[ひっきしけん];その かいしゃ の ひっきしけん は むずかしかった よ;L'examen écrit de cette entreprise était difficile.
衣料[いりょう];その かいしゃ は いりょう を あつかって いる ん だ;L'entreprise s'occupe de vêtements.
分散[ぶんさん];その かいしゃ は いろいろ な くに に とうし を ぶんさん して いる ね;La société répartit ses investissements dans divers pays.
欧米[おうべい];その かいしゃ は おうべい に しんしゅつ して いる よ ね;Cette société s'est implantée en Europe et aux États-Unis.
採用[さいよう];その かいしゃ は じょせい を おおく さいよう して いる;Cette entreprise emploie de nombreuses femmes.
拡張[かくちょう];その かいしゃ は てんぽ を かくちょう して います ね;L'entreprise agrandit le magasin.
推進[すいしん];その かいしゃ は りさいくる を すいしん して いる ね;L'entreprise fait la promotion du recyclage.
翌年[よくねん];その かいしゃ 会社の かいけいねんど 会計年度は しがつ ４月から よくねん 翌年の さんがつ ３月 まで 迄である。;The company's financial year runs from April until March of the following year.
学費[がくひ];その かね 金は わたし 私の がくひ 学費に おお 大いに やくだ 役立つだろう。;Je me demande si utiliser cet argent pour les dépenses scolaires l'argent sera profitable.
最先端[さいせんたん];その かめら に は さいせんたん の ぎじゅつ が つかわれて います;Une technologie de pointe est utilisée dans cet appareil photo.
可哀相[かわいそう];その かわいそう な こどもたち は たべる もの が ない;Ces pauvres enfants n'ont rien à manger.
幼稚[ようち];その かんがえ は すこし ようち だ と おもう;Je trouve cette idée un peu puérile.
効力[こうりょく];その くすり は こうりょく が つよい よ;L'effet du médicament est puissant.
伝染[でんせん];その くに で は これら の でんせん が まんえん して います;Il y a une épidémie de choléra qui se propage dans ce pays.
秩序[ちつじょ];その くに の しゃかい ちつじょ は みだれて いる わ;L'ordre social dans ce pays est dans un état de chaos.
要請[ようせい];その くに の せいふ は かっこく に しえん を ようせい した の よ;Le gouvernement de ce pays a demandé le soutien de toutes les nations.
待ち望む[まちのぞむ];その くに の ひとびと は へいわ を まちのぞんで いる の;Les citoyens de ce pays espèrent la paix.
共産主義[きょうさんしゅぎ];その くに は きょうさんしゅぎ の くに だ よ;Ce pays est une nation communiste.
開放[かいほう];その くに は しじょう の かいほう を もとめられて いる の;Ce pays a été invité à ouvrir ses marchés.
資本主義[しほんしゅぎ];その くに は しだいに しほんしゅぎ に なった わ ね;Le pays est progressivement devenu capitaliste.
少数[しょうすう];その けいかく に はんたい の ひと は ほんの しょうすう だった よ;Seules quelques personnes s'y sont opposées.
主催[しゅさい];その げいじゅつさい は し が しゅさい して います;Le festival d'art est parrainé par la ville.
先程[さきほど];その けん でしたら さきほど じょうし から きょか を えて おります;Si vous parlez de cela, j'ai obtenu la permission de mon patron il y a peu de temps.
認識[にんしき];その けん は おわった と にんしき して います;Je crois comprendre que l'affaire est terminée.
原材料[げんざいりょう];その げんざいりょう 原材料のうちのいくつかは ゆうがい 有害です。 とく 特に、 にんしん 妊娠 ちゅう 中の かた 方にとっては。;Certains de ces ingrédients sont nocifs, surtout si vous êtes enceinte.
嫌々[いやいや];その こ は いやいや がっこう へ いった の;L'enfant est allé à l'école à contrecœur.
粒[つぶ];その こ は おおつぶ の なみだ を うかべていた の;Les yeux de l'enfant étaient remplis de grosses larmes.
有毒[ゆうどく];その こうじょう は ゆうどくがす を だして いる の ね;Il y a des fumées nocives qui sortent de cette usine.
対等[たいとう];その こども は おとな と たいとう に はなして いた よ;Ce gamin parlait avec un adulte comme un égal.
捜査[そうさ];その さつじん じけん の そうさ は 2 ねんかん つづきました;L'enquête sur l'affaire du meurtre s'est poursuivie pendant deux ans.
殺人[さつじん];その さつじん じけん は はくちゅう に おこった ん だ;Le meurtre a eu lieu pendant la journée.
運営[うんえい];その じぎょう は くに が うんえい して います;Le projet est géré par le gouvernement.
投書[とうしょ];その じけん に ついて しんぶん に とうしょ した ん だ;J'ai écrit au journal concernant cet incident.
当局[とうきょく];その じけん に ついて は とうきょく が ちょうさ して います;Les autorités concernées enquêtent sur l'incident.
本部[ほんぶ];その じけん の ちょくご そうさ ほんぶ が せっち された;Immédiatement après l'incident, un quartier général d'enquête a été mis en place.
次第に[しだいに];その じけん は しだいに わすれられて いった の さ;L'incident fut peu à peu oublié.
負傷[ふしょう];その じこ で おおく の ひと が ふしょう した の;De nombreuses personnes ont été blessées dans l'accident.
多量[たりょう];その じこ で たりょう の がすもれ が あった ね;Une grande quantité de gaz s'est échappée à cause de l'accident.
貴い[とうとい];その じこ で とうとい いのち が うしなわれました;Une vie précieuse a été perdue dans l'accident.
多数[たすう];その しごと に たすう の おうぼ が あった よ;Il y avait beaucoup de candidatures pour le poste.
報酬[ほうしゅう];その しごと の ほうしゅう と して 20 まんえん もらいました;J'ai été rémunéré 200 000 yens pour ce travail.
伴う[ともなう];その しごと は きけん を ともなう;Le danger vient avec le travail.
住宅地[じゅうたくち];その じゅうたくち は べんり な ばしょ に ある ね;Ce quartier résidentiel est idéalement situé.
上半身[じょうはんしん];その しょうねん 少年は じょうはんしん 上半身 はだか 裸であった。;Le garçon était nu sous la taille.
学歴[がくれき];その しょく は だいそつ の がくれき が ひつよう だ;Ce travail exige un diplôme d'études collégiales.
男女[だんじょ];その すぽーつ は だんじょ いっしょ に します;Hommes et femmes pratiquent ce sport ensemble.
廃止[はいし];その せいど は はいし されました;Le système a été aboli.
獲得[かくとく];その せんしゅ の かくとく しょうきん は におくえん だって;J'entends que le bonus d'acquisition pour ce joueur est de 200 millions de yens.
復活[ふっかつ];その せんしゅ は けが を のりこえて ふっかつ した わ ね;Le joueur s'est remis de sa blessure.
種目[しゅもく];その せんしゅ は にしゅもく で めだる を とった わ;L'athlète a remporté des médailles dans deux épreuves.
引っ掛ける[ひっかける];その せんしゅ は はーどる に あし を ひっかけた ん だ;L'athlète a attrapé son pied sur l'obstacle.
反則[はんそく];その せんしゅ は はんそく で まけました;L'athlète a perdu à cause d'une faute.
番地[ばんち];その たてもの の ばんち は わかります か;Connaissez-vous le numéro de parcelle de l'immeuble ?
争い[あらそい];その ちいき で は あらそい が たえません;Il y a des conflits incessants dans cette région.
守備[しゅび];その ちーむ は しゅび が あまい ね;La défense de l'équipe est molle.
産地[さんち];その ちほう は おちゃ の さんち です;La région est un centre de production de feuilles de thé.
民間[みんかん];その とち は みんかん きぎょう に ばいきゃく された ん だ;Le terrain a été vendu à une société privée.
争う[あらそう];その にこく は しげん を めぐって あらそって います;Les deux pays se disputent les ressources.
対立[たいりつ];その にしゃ は たいりつ して います;Les deux sociétés sont l'une contre l'autre.
夕刊[ゆうかん];その にゅーす は ゆうかん で みました;J'ai vu cette nouvelle dans le journal du soir.
鶏[にわとり];その にわとり は まいあさ なきます;Le coq chante tous les matins.
表紙[ひょうし];その にんき あいどる が こんげつ の ひょうし だ よ;La star populaire est en couverture ce mois-ci.
祈り[いのり];その ひ こくみん は へいわ へ の いのり を ささげる　の;Les gens prient pour la paix ce jour-là.
旅客[りょかく];その びん は がいこくじん の りょかく が おおかった よ;Il y avait beaucoup de voyageurs étrangers sur ce vol.
摩擦[まさつ];その ふたつ の くに に まさつ が しょうじた ん だ;Des frictions ont surgi entre les deux pays.
邦楽[ほうがく];その ぶったい 物体は ひかりをはな 光を放ちながら みなみ 南の ほうがく 方角へ と 飛んで い 行った。;L'objet volait en directino du sud, emettant des éclairs de lumière.
踏切[ふみきり];その ふみきり は ながい;Ce passage à niveau a un long signal.
官庁[かんちょう];その ふるい たてもの は かんちょう です;Cet ancien bâtiment est le bureau du gouvernement.
滅びる[ほろびる];その ぶんめい は なんぜんねん も まえ に ほろびて しまった の;Cette civilisation a été détruite il y a des milliers d'années.
細長い[ほそながい];その ほそながい ぼう を とって ください;Veuillez prendre ce bâton long et fin.
中毒[ちゅうどく];その ほてる で しょくちゅうどく が はっせい した ん だ;Une intoxication alimentaire s'est déclarée à l'hôtel.
施設[しせつ];その ほてる に は れじゃー しせつ が たくさん ある;Il y a beaucoup d'installations de loisirs dans l'hôtel.
通り掛かる[とおりかかる];その みせ を とおりかかったら ばーげん を やっていた 。;Quand je suis passé devant le magasin, il y avait une vente.
外観[がいかん];その もだん な がいかん の たてもの が たいしかん です;Ce bâtiment à l'extérieur moderne est l'ambassade.
策[さく];その もんだい に たいする さく を みんな で かんがえた の;Nous avons tous pensé à des mesures pour résoudre le problème.
討論[とうろん];その もんだい に ついて くらす で とうろん しました;Le problème a été discuté en classe.
審議[しんぎ];その もんだい は しんぎちゅう です;La question est en délibération.
出し合う[だしあう];その 件[けん]については 我々[われわれ]はみんなのアイデアを 出し合[だしあ]って、もっといい 案[あん]を 出[だ]した 方が良[ほうがい]い。;Nous ferions mieux de faire ensemble un brainstorming sur ce sujet et de trouve de meilleures idées.
絆[きずな];その 兄弟[きょうだい]の 間[あいだ]には 強[つよ]い 絆[きずな]がある。;Il y a un lien fort entre les frères.
雑談[ざつだん];その 先生[せんせい]はいつも 授業[じゅぎょう]の 前[まえ]に 雑談[ざつだん]をするの。;Le professeur discute toujours avant la classe.
北半球[きたはんきゅう];その 動物[どうぶつ] 類[るい]は 北半球[きたはんきゅう]で 見[み]ることができる。;Ces animaux peuvent être vus dans l'hémisphère Nord.
宣伝[せんでん];その 商品[しょうひん]はテレビで 宣伝[せんでん]されている。;Ces produits sont promus à la télévision.
噂[うわさ];その 噂[うわさ]は 本当[ほんとう]ですか。;La rumeur est-elle vraie ?
飢饉[ききん];その 国[くに]では 飢饉[ききん]は 深刻[しんこく]な 問題[もんだい]だ;La famine est un problème grave dans ce pays.
豊富[ほうふ];その 国[くに]は 石油[せきゆ]が豊富[ほうふ]である。;Le pétrole est abondant dans ce pays.
社会科学[しゃかいかがく];その 大学[だいがく]の 課程[かてい]は 自然科学[しぜんかがく]と 社会科学[しゃかいかがく]から 成り立[なりた]っている。;Ce programme d'études couvre les sciences naturelles et les sciences sociales.
木登り[きのぼり];その 女の子[おんなのこ]は 木登[きのぼ]りが 大好[だいす]きだった。;Cette fille aimait escalader les arbres.
弱い[よわい];その 子[こ]は 体[からだ]が 少[すこ]し 弱[よわ]い。;Cet enfant est un peu faible physiquement.
閉じ込める[とじこめる];その 子[こ]は 猫[ねこ]を ボール箱[ボールばこ]の 中[なか]へ 閉じ込[とじこ]めた。;Cet enfant a enfermé un chat dans le carton.
絵本[えほん];その 子[こ]は 絵本[えほん]が 大好[だいす]きです。;Ce gosse adore les livres d'images.
お化け[おばけ];その 子[こ]はお 化[ば]けを 見[み]たと 言[い]っている;L'enfant dit qu'elle a vu un fantôme.
飽きる[あきる];その 子[こ]はおもちゃに 飽[あ]きたようだね。;L'enfant semble avoir été lassé du jouet.
深く[ふかく];その 川[かわ]は 広[ひろ]くて 深[ふか]いです。;La rivière est large et profonde.
最新式[さいしんしき];その 工場[こうじょう]では、 設備[せつび]はすべて 最新式[さいしんしき]のものだった。;A l'usine, tout les équipement sont au dernier cri.
役者[やくしゃ];その 役者[やくしゃ]の 事[こと]は 聞[き]いたことが 無[な]い。;Je n'ai jamais entendu parler de l'acteur.
危篤[きとく];その 患者[かんじゃ]は 危篤[きとく] 状態[じょうたい]だった|父が危篤だという電話がありました。;Le patient était dans un état critique.
封筒[ふうとう];その 手紙[てがみ]を 封筒[ふうとう]に 入[い]れた。;J'ai mis cette lettre dans une enveloppe.
新婚[しんこん];その 新婚[しんこん] 夫婦[ふうふ]は 手[て]をつないで 歩[ある]いた。;Le couple nouvellement marié a marché main dans la main.
悲しい[かなしい];その 映画[えいが]はとても 悲[かな]しかった。;Ce film était très triste.
粗筋[あらすじ];その 映画[えいが]はどんなあらすじですか。;Quelle est l'histoire du film?
一番上[いちばんうえ];その 本[ほん]は いちばん上[いちばんうえ]の 棚[たな]に 置[お]いてください。;Veuillez mettre le livre sur l'étagère supérieure.
伝説[でんせつ];その 歌[うた]は 伝説[でんせつ]に 由来[ゆらい]する 物[もの]だった。;La chanson provient d'une légende.
言い表す[いいあらわす];その 物体[ぶったい]がどんな 物[もの]か 言い表[いいあらわ]す 事[こと]が 出来[でき]ますか。;Pouvez-vous décrire l'objet?
入り込む[はいりこむ];その 猟師[りょうし]は 森[もり]の 中[なか] 深[ふか]く 入り込[はいりこ]み、 二度[にど]と 帰[かえ]らなかった。;Le chasseur s'est enfoncé profondément dans la forêt, pour ne jamais en revenir.
奪う[うばう];その 男[おとこ]は 彼女[かのじょ]のバッグを 奪[うば]ったぞ。;L'homme a volé son sac.
築き上げる[きずきあげる];その 男[おとこ]はおおきな 財産[ざいさん]を 築き上[きずきあ]げた。;L'homme a batti une grande fortune.
爆弾[ばくだん];その 町[まち]に 爆弾[ばくだん]が 落[お]とされた。;Des bombes ont été larguées dans cette ville.
遺言[ゆいごん];その 老人[ろうじん]は 遺言[ゆいごん]を 作成[さくせい]した。;Ce vieillard rédigait son testament
基礎[きそ];その 考[かんが]えが 彼[かれ]の 理論[りろん]の 基礎[きそ]となっている。;Cette idée résume les fondement de sa théorie.
退ける[のける];その 自転車[じてんしゃ]をどけてください。;Veuillez déplacer ce vélo hors du chemin.
心理学者[しんりがくしゃ];その 著名[ちょめい]な 心理学者[しんりがくしゃ]は、 見た目[みため]が 私[わたし]の 叔父[おじ]に 似[に]ている。;L'éminent psychologue ressemble en apparence à mon oncle.
興味深い[きょうみぶかい];その 話[はなし]はとても 興味深[きょうみぶか]かった。;L'histoire était très intéressante.
励る[はげる];その 調子[ちょうし]で 勉強[べんきょう]を 続[つづ]けなさいと 先生[せんせい]が 励[はげ]ましてくれた。|かべ の ぺんき が はげて きた な|ちち が むすこ を はげました の;Mon professeur m'a encouragé dans mes études.
分[ぶ];その 貸付金[かしつけきん]は、８ 分[ぶ]の 利益[りえき]を 生[う]む。;Le prêt porte un intérêt de 8%.
部署[ぶしょ];その 資料[しりょう]はこの 部署[ぶしょ]にはありません。;Notre département ne possède pas cette information.
故[ゆえ];その 起源[きげん]ゆえに、カナダ 英語[えいご]にはアメリカ 英語[えいご]とイギリス 英語[えいご]の 両方[りょうほう]の 特徴[とくちょう]がある。;En raison de ses origines, l'anglais canadien a des caractéristiques à la fois anglais américain et britannique.
契約[けいやく];その 選手[せんしゅ]は 新[あたら]しいチームと 契約[けいやく]した。;Le joueur a signé un contrat avec une nouvelle équipe.
散らばる[ちらばる];その 銀行[ぎんこう]の 支店[してん]は 日本[にほん] 全国[ぜんこく]に 散[ちらば]らばっている。;Les succursales de la banque sont situées dans tout le Japon.
冷凍[れいとう];その 魚[さかな]と 肉[にく]を 冷凍[れいとう]してください。;S'il vous plaît congeler le poisson et la viande.
痩身[そうしん];そのエステは痩身を専門にしているんだって。;J'ai entendu dire que le salon de beauté était spécialisé dans l'amincissement.
鋼[はがね];そのゲームで鋼の鎧っていくらだったっけ？;Combien coûte l'armure d'acier dans le jeu ?
片隅[かたすみ];そのことが心の片隅にずっと引っかかっていたんです。;Cela a toujours été coincé dans un coin de ma tête.
推定[すいてい];そのサバンの男は群衆の規模を534人と推定したのだが、実際の数とピッタリ当っていた。;Le gars, qui est un savant, a estimé l'ampleur de la foule à 534 personnes et il avait tout à fait raison.
薦め[すすめ];そのスリッパは私のお薦めです。;Ces pantoufles sont ma recommandation.
助力[じょりょく];そのせつは、ご助力をたまわりかんしゃ申し上げます。;Merci pour votre aide en ce moment.
投手[とうしゅ];そのダルビッシュ投手の人形はいくらですか？;Combien coûte la poupée du lanceur, Darvish ?
準決勝[じゅんけっしょう];そのチームは 準決勝[じゅんけっしょう]に 勝[か]って 決勝[けっしょう]に 進出[しんしゅつ]した。;L'équipe a remporté les demi-finales et a remporté la finale.
爆撃[ばくげき];そのチョコレート工場は、爆撃を受けて粉々になりました。;La chocolaterie s'est effondrée sous les bombardements.
ダメージを与える[ダメージをあたえる];そのニュースは 彼[かれ]に 大[おお]きなショックを 与[あた]えた。;La nouvelle lui provoqua un grand choc.
積み重ねる[つみかさねる];そのバッグは 彼[かれ]の 後[あと]に 積み重[つみかさ]ねられていた。;Les sacs étaient empilés derrière lui.
川沿い[かわぞい];そのビルは 川沿[かわぞ]いに 建[た]っている。;Le bâtiment se dresse sur le bord de la rivière.
畳[たたみ];そのホテルには 畳[たたみ]の 部屋[へや]がある。;Cet hôtel a des chambres en tatami.
眺望[ちょうぼう];そのホテルの部屋からは美しく青い海を眺望することができました。;Nous avons pu voir le magnifique océan bleu depuis notre chambre d'hôtel.
部室[ぶしつ];そのまんがなら、部室に全かんそろってるよ。;Quant à ce manga, nous avons toute la série dans la salle du club.
暗殺[あんさつ];そのヤクザの組長は暗殺されてしまいました。;Ce chef yakuza a fini par se faire assassiner.
言葉つき[ことばつき];そのようせいの声は子どもの声だったが、言葉つきはまるで大人だった。;La fée avait une voix d'enfant, mais ses mots étaient comme si c'était un adulte.
月光[げっこう];そのよるは、月光がとてもきれいでした。;Le clair de lune était très beau cette nuit-là.
録音[ろくおん];そのラジオ 番組[ばんぐみ]はもう 録音[ろくおん]しました。;J'ai déjà enregistré cette émission de radio.
葬る[ほうむる];その事件の真相が闇に葬られるのではないかと心配しています。;J'ai peur que la vérité sur l'incident soit enterrée.
傷者[しょうしゃ];その事故による死者は三名、傷者は二百人以上にのぼるという。;On dit qu'il y a eu trois morts et plus de 200 blessés dans cet accident.
仏典[ぶってん];その仏典はこの箱の中にしまってもらえますか？;Pouvez-vous mettre les écritures bouddhistes dans cette boîte ?
懇親[こんしん];その会社の株主総会の後には、懇親会があります。;Une réunion amicale aura lieu après l'assemblée générale de la société.
新鋭[しんえい];その会社は最新鋭のパソコンを購入することを決定しました。;L'entreprise a décidé d'acheter l'ordinateur de pointe.
斬る[きる];その侍は、早口言葉が上手く言えなければお前の舌を斬るぞ、と私に言いました。;Le samouraï m'a dit qu'il me couperait la langue si je ne pouvais pas dire le virelangue correctement.
荘厳[そうごん];その儀式は荘厳に行われました。;La cérémonie s'est tenue solennellement.
入れ墨[いれずみ];その入れ墨には今までいくら費やしているんですか。;Combien d'argent avez-vous dépensé en tatouages?
兵舎[へいしゃ];その兵舎には異臭が漂っており、息をするのもやっとだった。;La caserne était remplie d'une telle puanteur que je pouvais à peine respirer.
殉職[じゅんしょく];その刑事は、銃弾を浴びて殉職しました。;Le détective a pris une balle et est mort à son poste.
土俵際[どひょうぎわ];その力士は土俵際で踏ん張り、相手力士に打っ棄りを食らわせた。;Le lutteur de sumo s'est accroché au bord du ring et a réussi à expulser son adversaire.
絶滅[ぜつめつ];その動物は絶滅の危機に瀕している。;Cet animal est en voie d'extinction.
遅滞[ちたい];その動画を遅滞なく削除せよ。;Supprimez la vidéo sans délai.
他動詞[たどうし];その動詞が他動詞か自動詞かを学ぶには、まる暗記するしかないのかな。;La mémorisation est-elle le seul moyen de savoir si le verbe est transitif ou intransitif ?
哲学者[てつがくしゃ];その哲学者は強風を通って歩いたので、自分のベレー帽をしっかりと掴まなくてはならなかった。;Le philosophe devait s'accrocher à son béret alors qu'il marchait dans le vent fort.
刑期[けいき];その囚人は、十五年間の刑期を務めた後で釈放されたが、行く当てがなく自殺をしてしまいました。;Le condamné a été libéré après avoir purgé une peine de quinze ans de prison, mais il n'avait nulle part où aller et s'est suicidé.
対策[たいさく];その場[ば]しのぎの 対策[たいさく]では 麻薬中毒[まやくちゅうどく] 問題[もんだい]にきりこむことはできないでしょう。;Ces mesures temporaires ne résouderont pas le problème de la toxicomanie.
注釈[ちゅうしゃく];その場合は、注釈を付けてください。;Dans ce cas, veuillez ajouter des notes.
人造の[じんぞうの];その外交官は人造人間十八号に刺された。;Le diplomate a été poignardé par Android No.18.
驚嘆[きょうたん];その太陽光発電所の規模に驚嘆しました。;J'ai été étonné de la taille de la centrale solaire.
拘置[こうち];その女性は豆芝を膝に載せたまま酔っぱらっていたので、見かねた警察がその犬を保護拘置し、後から返してあげたそうです。;J'ai entendu dire que la femme était ivre avec un Shiba Inu miniature sur ses genoux, alors la police, qui ne supportait pas de voir la situation, a placé le chien en garde à vue et l'a rendu plus tard.
盲人[もうじん];その家には、生まれつき盲人の男が住んでいます。;Un homme vit dans cette maison qui est né aveugle.
容疑者[ようぎしゃ];その容疑者は、どういう訳か十代の若者たちに大志と楽観主義のメッセージを伝えた。;Le suspect a en quelque sorte transmis un message d'ambition et d'optimisme aux adolescents.
少佐[しょうさ];その少佐は、大佐に飲み物を奢ると言ってきかなかった。;Le lieutenant a insisté pour offrir un verre au colonel.
尼僧[にそう];その尼僧は、寝起きはいつも顔がむくんでいます。;Le visage de cette nonne est toujours enflé quand elle se réveille.
巡査[じゅんさ];その巡査は、スコッチを一気にゴクリと半分飲み干した。;Le policier a bu la moitié du scotch d'un trait.
華々しい[はなばなしい];その左利きの投手は、大リーグで華々しいデビューを飾りました。;Ce lanceur gaucher a fait de brillants débuts dans les ligues majeures.
切腹[せっぷく];その年老いた武士は、切腹をすることに固執した。;Le vieux samouraï a insisté pour se suicider rituellement.
小柄[こがら];その店では、一人の小柄なおばあさんが買い物をしていた。;La petite vieille faisait ses courses seule dans le magasin.
老朽[ろうきゅう];その建物はかなり老朽しているので、立ち入らない方がいい。;Ce bâtiment est assez décrépit, vous ne devriez donc pas y entrer.
包囲[ほうい];その建物はじきに警察に包囲されるでしょう。;Le bâtiment sera encerclé par la police dans un instant.
懇意[こんい];その弁護士さんとはもう何十年も懇意にしていましてね。;J'ai été proche de cet avocat pendant des décennies.
闘志[とうし];その戦闘ロボットは、メラメラと闘志を燃やしていた。;Le robot de combat était plein d'esprit combatif.
気概[きがい];その教師は、教室で見て見ぬふりをされている問題に取り組む気概がなかった。;L'enseignante n'avait pas le courage de s'occuper des problèmes en classe.
脅す[おどす];その教師は何名かの男子生徒を刃物で脅したとして解雇されました。;Cet enseignant a été licencié parce qu'il avait menacé des élèves de sexe masculin avec un couteau.
諮問[しもん];その日は経済財政諮問会議が開催される予定です。;Le Conseil de la politique économique et fiscale prévoit de tenir une réunion le même jour.
抱擁[ほうよう];その映画の、主役の二人が甘い抱擁を交わすシーンがとても美しかったよ。;La scène de ce film où les deux acteurs principaux ont échangé une douce étreinte était si belle.
環礁[かんしょう];その時、日本のマグロ漁船「第五福竜丸」がたまたまビキニ環礁を航行しており、乗組員が被ばくしてしまった。;"Le thonier japonais ""SS Lucky Dragon 5"" a accidentellement navigué autour de l'atoll de Bikini et l'équipage a été exposé à des radiations."
貨幣価値[かへいかち];その時からどれぐらい貨幣価値が変わったか、知っているかい？;Savez-vous à quel point la valeur de l'argent a changé depuis ?
三杯[さんばい];その時ちょっとへこみ気味だったもんで、ビールを三杯一気飲みしちゃったんだよね。;J'étais déprimé à l'époque, alors j'ai bu trois verres de bière.
